LSOA CODE,INCOME SCORE,EMPLOYMENT SCORE,HEALTH DEPRIVATION AND DISABILITY SCORE,EDUCATION SKILLS AND TRAINING SCORE,BARRIERS TO HOUSING AND SERVICES SCORE,CRIME AND DISORDER SCORE,LIVING ENVIRONMENT SCORE,Indoors Sub-domain Score,Outdoors Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Children/Young People Sub-domain Score,Skills Sub-domain Score,IDACI score,IDAOPI score
E01028739,0.07,0.04,-0.91,3.56,21.59,-0.71,6.12,7.3,3.75,30.87,12.32,2,5.12,0.05,0.12
E01028740,0.04,0.03,-1.28,6.25,15.13,-0.73,10.33,9.59,11.8,20.28,9.98,5.79,6.72,0.06,0.07
E01028741,0.03,0.02,-1.55,5.32,25.04,-0.94,7.21,7.21,7.21,43.07,7,7.51,3.13,0.05,0.07
E01028742,0.08,0.03,-0.88,3.6,32.48,-0.55,15.28,10.28,25.26,44.89,20.06,4.7,2.5,0.06,0.17
E01028743,0.03,0.04,-1.01,4.31,19.33,-1.59,14.82,18.13,8.2,25.55,13.11,2.52,6.1,0.01,0.13
E01028744,0.04,0.05,-0.61,14.69,21.85,0.05,16.96,12.77,25.34,31.83,11.88,17.73,11.65,0.08,0.06
E01028745,0.03,0.02,-1.7,2.61,4.62,-1.25,8.21,11.77,1.07,1.92,7.33,4.23,1,0.05,0.05
E01028746,0.05,0.03,-1.6,2.32,20.95,-1.36,5.22,5.82,4.02,35.45,6.44,1.76,2.87,0.07,0.07
E01028747,0.02,0.02,-1.8,2.31,34.63,-1.53,9.56,11.14,6.39,62.44,6.81,4.13,0.49,0.01,0.1
E01028748,0.06,0.04,-1.07,8.04,14.49,-1.63,8.04,10.67,2.78,6.61,22.38,14.38,1.7,0.05,0.16
E01028749,0.07,0.04,-1.41,9.43,21.09,-0.84,8.47,11.46,2.49,35.77,6.41,13.26,5.61,0.09,0.11
E01028750,0.08,0.06,-0.48,15.6,29.61,-1.08,6.96,7.01,6.86,45.16,14.06,15.56,15.63,0.09,0.14
E01028751,0.03,0.02,-1.46,6.45,38.61,-0.4,13.78,16,9.33,64.37,12.85,11.29,1.62,0.03,0.05
E01028752,0.05,0.03,-1,9.49,16.3,-0.51,6.09,4.4,9.47,23.54,9.07,13.46,5.53,0.08,0.06
E01028753,0.11,0.07,-0.59,30.82,23.82,-1.36,10.48,15.36,0.72,34.58,13.05,36.51,25.13,0.17,0.13
E01028754,0.04,0.03,-1.28,2.27,41.15,-1.22,12.51,17.16,3.21,73.89,8.41,2.47,2.07,0.06,0.06
E01028755,0.06,0.05,-0.78,5.09,15.33,-0.26,5.77,6.29,4.74,20.13,10.53,2.65,7.53,0.07,0.09
E01028756,0.08,0.04,-0.93,7.82,19.11,0.43,15.62,19.99,6.88,16.96,21.26,12.09,3.54,0.13,0.12
E01028757,0.13,0.07,0.03,13.63,24,0.21,9.34,6.58,14.87,28.23,19.78,17.35,9.92,0.15,0.17
E01028758,0.02,0.03,-1.24,5.94,9.04,-1.02,4.23,3.37,5.94,10.95,7.13,4.53,7.35,0,0
E01028759,0.08,0.05,-0.86,23.25,25.65,-1.26,4.53,5.69,2.19,38.53,12.77,23.52,22.98,0.11,0.13
E01028760,0.07,0.04,-1.08,11.97,26.64,-0.1,9.46,8.09,12.18,40.63,12.64,14.28,9.66,0.1,0.09
E01028761,0.05,0.05,-0.74,7.22,29.96,-0.8,7.68,1.29,20.46,47.31,12.6,5.61,8.82,0.06,0.08
E01028762,0.06,0.03,-1.05,5.26,40.66,-0.79,19.98,29.88,0.17,73.56,7.76,6.5,4.01,0.08,0.1
E01028763,0.05,0.03,-1.33,3.87,30.18,-0.89,9.32,12.56,2.83,51.7,8.67,2.84,4.89,0.06,0.08
E01028764,0.06,0.04,-0.93,6.91,13.01,-0.17,5.75,7.49,2.25,16.2,9.81,8.47,5.34,0.09,0.09
E01028765,0.09,0.06,-1.05,16.82,23.53,-0.62,7.6,10.39,2.03,34.55,12.5,20.62,13.03,0.09,0.16
E01028766,0.03,0.02,-1.67,6.59,31.46,-1.47,15.49,23.17,0.13,52.41,10.52,7.38,5.8,0.06,0.06
E01028767,0.06,0.04,-1.37,10.68,16.1,-0.12,13.36,17.87,4.36,19.7,12.5,15.2,6.17,0.06,0.1
E01028768,0.04,0.03,-1.04,17.49,9.34,-0.25,4.82,2.71,9.05,7.2,11.49,25.66,9.33,0.04,0
E01028769,0.05,0.03,-1.54,17.15,7.77,-0.51,2.77,3.37,1.56,3.05,12.49,15.98,18.32,0.07,0.11
E01028770,0.03,0.03,-0.96,9.44,16.65,-0.02,2.82,0.81,6.84,23.62,9.68,11.94,6.93,0.03,0
E01028771,0.11,0.07,-0.06,24.1,14.97,-0.33,5.58,7.38,1.99,14.34,15.6,25.95,22.25,0.11,0.18
E01028772,0.05,0.03,-1.31,23.47,30.25,-1.14,4.17,5.35,1.82,46.4,14.11,26.82,20.12,0.1,0.07
E01028773,0.08,0.05,-0.34,20.97,14.1,-0.28,1.93,2.72,0.34,15.87,12.33,21.94,20,0.14,0.13
E01028774,0.05,0.04,-0.67,16.93,5.76,-0.19,2.16,1.48,3.52,2.01,9.52,14.72,19.15,0.03,0.17
E01028775,0.03,0.03,-1.14,16.99,16.62,-0.38,2.63,0.71,6.47,22.16,11.08,16.22,17.76,0.04,0.07
E01028776,0.08,0.05,-0.79,9.18,38.35,-0.96,22.85,32.3,3.94,64.83,11.86,16.12,2.24,0.11,0.11
E01028777,0.04,0.03,-1.28,1.45,7.98,-0.62,8.75,12.77,0.7,8.27,7.69,1.68,1.21,0.08,0
E01028778,0.09,0.05,-0.5,11.26,10.78,-0.97,5.35,7.68,0.68,10.74,10.83,13.23,9.28,0.12,0.14
E01028779,0.06,0.04,-1.16,7.24,24.7,-0.82,5.91,8.2,1.33,44.16,5.25,5.65,8.82,0.09,0.1
E01028780,0.06,0.04,-0.78,4.11,9.02,-0.48,5.16,5.83,3.81,7.39,10.66,5.42,2.8,0.07,0.11
E01028781,0.17,0.1,0.33,40.16,17.31,-0.21,10.65,12.9,6.14,18.53,16.1,38.55,41.77,0.22,0.21
E01028782,0.06,0.04,-0.83,6.4,13.82,-0.47,12.38,17.54,2.06,17.42,10.23,6.49,6.31,0.09,0.09
E01028783,0.1,0.07,-0.46,10.97,7.86,0.23,11.84,11.73,12.06,1.71,14,14.57,7.36,0.12,0.18
E01028784,0.04,0.03,-1.42,8.71,34.8,-0.35,4.73,5.93,2.31,59.25,10.36,6.35,11.06,0.03,0.08
E01028785,0.06,0.04,-0.67,12.02,6.11,-0.46,10.54,11.19,9.25,5.26,6.95,13.43,10.61,0.07,0.11
E01028786,0.03,0.03,-1.06,7.57,13.18,-0.39,4.31,3.96,5.01,16.83,9.53,3.76,11.39,0.04,0.05
E01028787,0.11,0.05,-0.56,18.86,32.3,-0.2,11.15,12.47,8.5,53.22,11.37,23.79,13.94,0.15,0.17
E01028788,0.04,0.03,-1.29,4.02,17.82,-0.08,12.41,13.09,11.04,25.67,9.97,3.73,4.31,0.06,0.07
E01028789,0.02,0.02,-1.48,3.57,16.97,-1.14,5.95,6.52,4.82,25.79,8.14,1.76,5.37,0.03,0.04
E01028790,0.07,0.03,-0.94,7.63,27.82,-0.98,8.02,11.2,1.66,47.68,7.96,5.27,9.99,0.02,0.15
E01028791,0.02,0.02,-0.96,3.04,28.7,-2.01,3.39,4.85,0.47,52.61,4.79,1.68,4.41,0,0.05
E01028792,0.03,0.02,-1.43,3.2,36.9,-0.48,12.56,15.37,6.95,64.22,9.57,1.56,4.83,0.05,0.06
E01028793,0.06,0.03,-0.56,7.1,27.47,-1.66,9.4,13.29,1.62,49.26,5.69,8.01,6.19,0.08,0.11
E01028794,0.07,0.05,-0.65,19.17,13.28,-0.78,4.85,6.01,2.53,19.82,6.73,16.36,21.99,0.1,0.11
E01028795,0.06,0.03,-1.06,5.31,42.55,-0.79,29.23,43.74,0.23,76.03,9.06,5.1,5.53,0.08,0.1
E01028796,0.05,0.05,-0.73,3.65,37.93,-0.97,30.17,44.49,1.54,66,9.87,4.28,3.02,0.04,0.11
E01028797,0.06,0.03,-0.67,4.01,27.92,-0.98,10.64,15.2,1.53,48.98,6.86,2.86,5.16,0.03,0.13
E01028798,0.06,0.04,-1.1,8.85,23.55,-0.83,8.41,12.27,0.68,38.92,8.17,9.76,7.94,0.05,0.1
E01028799,0.05,0.03,-1.24,8.47,26.78,-0.9,2.8,3.82,0.77,44.83,8.73,7.76,9.18,0.05,0.1
E01028800,0.11,0.04,-0.43,10.73,31.23,-0.54,14.23,20.4,1.91,50.69,11.77,9.43,12.02,0.16,0.21
E01028801,0.05,0.04,-1.05,5.28,24.63,-1.18,9.73,14.33,0.54,38.05,11.21,4.01,6.54,0.06,0.1
E01028802,0.04,0.03,-1.16,2.46,43.18,-0.82,12.8,16.05,6.29,76.36,10,1.62,3.31,0.03,0.07
E01028803,0.05,0.04,-1.3,7.01,32.75,-0.68,14.95,21.45,1.95,53.84,11.67,9.71,4.31,0.06,0.08
E01028804,0.02,0.02,-1.37,2.63,18.7,-0.71,10.4,13.66,3.88,27.61,9.79,4.02,1.23,0.02,0.04
E01028805,0.04,0.03,-1.13,3.51,29.12,-1.98,9.39,9.52,9.15,50.33,7.91,3.96,3.06,0.03,0.1
E01028806,0.05,0.04,-1.11,5.76,37.22,-0.67,7.79,11.09,1.19,68.02,6.42,7.35,4.17,0.05,0.1
E01028807,0.12,0.07,-0.21,14.68,9.44,0.96,11.72,6.42,22.32,3.62,15.25,22.71,6.65,0.23,0.12
E01028808,0.08,0.06,-0.79,23.74,14.43,-0.69,8.94,9.94,6.94,18.07,10.8,22.46,25.02,0.13,0.07
E01028809,0.17,0.07,-0.58,42.21,18.69,-0.43,9.79,12.16,5.05,22.55,14.83,44.2,40.22,0.31,0.13
E01028810,0.03,0.03,-1.27,7.05,12.89,-0.86,4.99,5.05,4.87,8.54,17.24,6,8.11,0.04,0.06
E01028811,0.16,0.1,-0.07,23.35,13.19,-0.15,2.98,2.48,4,9.93,16.45,22.77,23.93,0.2,0.27
E01028812,0.06,0.04,-1.41,3.25,21.76,-0.33,4.07,4,4.22,33.46,10.07,3.84,2.66,0.08,0.08
E01028813,0.13,0.09,-0.14,34.9,12.68,-1.09,10.58,13.31,5.12,8.7,16.66,31.99,37.81,0.15,0.18
E01028814,0.04,0.04,-0.97,8.81,13.88,-0.45,6.95,6.46,7.94,15.43,12.33,6.97,10.65,0,0.1
E01028815,0.03,0.03,-0.91,4.06,18.94,-1.29,3.14,0.66,8.09,29.03,8.85,0.91,7.21,0.05,0.04
E01028816,0.04,0.03,-0.77,22.58,6.84,-0.16,8.25,1.6,21.54,0.96,12.73,18.47,26.69,0.03,0.07
E01028817,0.07,0.06,-0.62,22.47,11.35,-0.15,3.12,1.92,5.53,6.57,16.13,24.48,20.45,0.12,0.08
E01028818,0.08,0.06,-0.45,7.31,13.35,0.65,12.39,15.27,6.63,9.34,17.36,7.37,7.25,0.15,0.09
E01028819,0.16,0.11,0.4,26.54,16.23,0.41,11.33,5.28,23.44,19.05,13.42,23.38,29.7,0.18,0.23
E01028820,0.02,0.02,-1.39,3.58,10.4,-0.55,1.35,0.19,3.65,10.92,9.88,2.91,4.26,0.02,0
E01028821,0.06,0.05,-0.71,17.77,23.27,-0.56,2.92,0.58,7.6,30.5,16.05,26.62,8.92,0.07,0.14
E01028822,0.03,0.03,-1.24,9.61,30.42,-1.34,2.15,1.25,3.94,47.39,13.45,6.69,12.52,0.03,0
E01028823,0.05,0.03,-1.17,2.8,10.88,-0.39,12.18,15.42,5.71,6.05,15.72,3.55,2.05,0.06,0.11
E01028824,0.06,0.03,-0.66,8.86,14.19,-0.91,6.97,8.58,3.76,18.65,9.73,6.03,11.7,0.05,0.11
E01028825,0.06,0.03,-1.21,4.01,30.31,-0.01,11.56,11.96,10.78,50.15,10.48,2.71,5.32,0.13,0.05
E01028826,0.11,0.08,-0.9,18.23,24.8,-0.65,19.71,28.94,1.25,44.47,5.13,19.77,16.69,0.11,0.16
E01028827,0.12,0.08,-0.38,18.15,15.16,-1.37,6.19,8.08,2.4,29.03,1.29,21.43,14.87,0.12,0.19
E01028828,0.1,0.08,-0.72,15.59,35.27,-0.31,33.13,49.61,0.17,66.57,3.96,14.22,16.95,0.08,0.22
E01028829,0.07,0.06,-1.3,13.49,6.03,-1.11,7.47,10.88,0.66,8.58,3.47,16.11,10.86,0.07,0.1
E01028830,0.09,0.07,-0.79,4.94,20.54,0.09,21.91,24.35,17.02,34.84,6.24,5.35,4.52,0.09,0.15
E01028831,0.05,0.04,-1.31,4.9,22.13,-1.07,2.65,2.16,3.65,43.56,0.7,4.47,5.32,0.05,0.09
E01028832,0.1,0.07,-0.22,5.79,10.48,1.03,27.31,26.12,29.68,14.37,6.6,4.69,6.88,0.08,0.19
E01028833,0.08,0.08,-0.53,7.3,9.32,0.45,17.63,20.02,12.85,12.99,5.66,9.19,5.41,0.06,0.13
E01028834,0.13,0.08,-0.42,26.52,18.78,-0.54,20.47,28.93,3.54,32.38,5.19,26.9,26.15,0.18,0.18
E01028835,0.1,0.08,-0.7,22.19,16.64,-0.7,30.72,32.31,27.53,29.59,3.68,21.65,22.73,0.13,0.15
E01028836,0.19,0.15,0.42,31.76,12.37,-1.29,27.48,40.4,1.62,17.95,6.79,27.51,36.01,0.16,0.33
E01028837,0.06,0.07,-0.88,15.43,12.61,-1.28,10.69,15.26,1.55,18.09,7.14,10.6,20.26,0.03,0.13
E01028838,0.18,0.12,-0.51,42.07,7.22,-0.49,11.23,13.27,7.17,7.86,6.59,41.75,42.38,0.21,0.25
E01028839,0.05,0.07,-0.86,10.96,12.82,-1.06,1.91,2.59,0.56,24.8,0.84,7.16,14.77,0.03,0.08
E01028840,0.12,0.08,-0.47,18.5,16.91,-1.68,10.09,13.97,2.33,31.42,2.4,13.59,23.42,0.14,0.21
E01028841,0.11,0.09,-0.43,14.51,23.96,-0.32,43.88,61.2,9.24,45.23,2.69,9.54,19.49,0.12,0.19
E01028842,0.06,0.04,-1.33,4.07,31.5,-0.96,28.11,38.55,7.22,60.34,2.67,2.86,5.29,0.07,0.1
E01028843,0.09,0.06,-0.63,18,49.72,-1.07,38.04,56.77,0.6,95.5,3.94,16.8,19.2,0.1,0.14
E01028844,0.02,0.02,-1.15,9.87,27.29,-1.4,6.55,8.77,2.1,52.51,2.07,16.91,2.83,0.02,0.09
E01028845,0.05,0.04,-1.24,4.89,8.36,-0.86,4.37,6.32,0.49,14.81,1.91,3.48,6.29,0.04,0.08
E01028846,0.09,0.06,-1.04,7.54,46.72,-1.35,32.65,48.63,0.69,88.93,4.5,6.19,8.88,0.12,0.13
E01028847,0.08,0.05,-1.02,10.34,41.81,-0.65,41.53,60.24,4.11,82.28,1.35,11.02,9.66,0.08,0.13
E01028848,0.08,0.07,-0.95,20.27,2,-0.82,1.81,2.07,1.3,1.99,2.01,18.46,22.08,0.11,0.11
E01028849,0.24,0.14,-0.32,41.25,6.85,0.58,23.79,34.39,2.57,9.73,3.96,38.78,43.71,0.32,0.31
E01028850,0.07,0.04,-1.38,7.15,42.6,-0.8,33.59,49.99,0.77,83.94,1.27,5.09,9.22,0.09,0.12
E01028851,0.08,0.06,-0.64,3.19,37.39,-1.35,24.35,33.97,5.11,73.8,0.99,2.81,3.57,0.06,0.14
E01028852,0.12,0.08,-0.77,10.06,19.03,-1.94,28.44,41.87,1.58,34.07,3.98,9.46,10.67,0.18,0.17
E01028853,0.21,0.14,-0.05,39.33,7.21,0.28,11.41,8.22,17.79,4.55,9.87,29.61,49.04,0.2,0.33
E01028854,0.07,0.08,-0.76,7.39,6.3,-0.27,9.24,9.09,9.54,9.09,3.52,3.49,11.28,0.05,0.15
E01028855,0.06,0.04,-1.14,4.4,14.5,-0.14,6.01,5.48,7.07,28.29,0.71,3.16,5.63,0.08,0.09
E01028856,0.1,0.08,-0.22,8.56,8.29,0.68,11.32,10.18,13.62,10.94,5.65,5.08,12.03,0.05,0.21
E01028857,0.1,0.07,-0.86,15.74,30.77,-0.13,16.76,22.23,5.8,60,1.54,14.29,17.18,0.11,0.15
E01028858,0.06,0.06,-0.97,8.31,48.14,-1.7,38.32,57.46,0.05,91.47,4.8,5,11.63,0.05,0.08
E01028859,0.09,0.05,-1.12,10.6,39.67,-0.38,37.8,52.81,7.77,77.11,2.23,13.36,7.84,0.13,0.13
E01028860,0.06,0.05,-0.51,5.74,21.81,-1.06,10.33,12.83,5.34,40.52,3.11,2.88,8.59,0.07,0.12
E01028861,0.09,0.05,-0.5,8.59,34.07,-1.06,18.93,27.07,2.64,63.96,4.19,6.48,10.7,0.09,0.16
E01028862,0.07,0.05,-0.56,7.64,38.49,-1.18,21.17,26.71,10.1,72.13,4.84,8.18,7.09,0.07,0.12
E01028863,0.09,0.05,-0.53,5.63,41.06,-1.93,22.2,33.17,0.25,75.56,6.56,4.24,7.02,0.13,0.12
E01028864,0.1,0.09,-0.44,10.07,38.06,-1.26,25.26,36.7,2.38,70.03,6.1,2.97,17.17,0.09,0.15
E01028865,0.07,0.06,-0.88,6.47,9.8,-0.66,5.19,7.33,0.89,15.14,4.47,1.89,11.05,0.08,0.11
E01028866,0.11,0.08,-0.14,13.68,34.28,-0.15,43.86,60.89,9.79,58.26,10.3,10.74,16.63,0.15,0.15
E01028867,0.21,0.14,0.29,36.16,13.9,-0.45,23.99,32.51,6.95,17.25,10.55,24.63,47.69,0.3,0.29
E01028868,0.08,0.06,-0.38,10.32,40.97,-1.45,18.03,25.7,2.69,77.41,4.52,7.93,12.72,0.08,0.12
E01028869,0.08,0.07,-0.35,15.5,40.4,-0.62,17.5,26.08,0.34,74.76,6.05,15.24,15.76,0.09,0.14
E01028870,0.07,0.05,-0.83,7.29,49.36,-1.17,24.53,35.86,1.86,93.38,5.33,6.3,8.29,0.07,0.12
E01028871,0.12,0.1,0.17,17.06,42.94,-0.25,30.38,43.55,4.04,80.52,5.35,16.89,17.22,0.13,0.19
E01028872,0.07,0.07,-0.64,6.17,45.21,-1.35,38.71,57.35,1.44,85.99,4.43,3.33,9,0.05,0.13
E01028873,0.28,0.19,0.52,53.38,10.59,0.29,11.26,12.44,8.88,5.9,15.27,61.08,45.67,0.43,0.26
E01028874,0.09,0.1,-0.18,17.49,11.4,0.77,3.79,2.67,6.04,17.96,4.84,18.93,16.05,0.15,0.09
E01028875,0.07,0.06,-0.91,13.44,14.71,-0.78,3.06,2.6,3.96,23.9,5.53,10.2,16.68,0.1,0.12
E01028876,0.18,0.12,0.21,28.56,11.68,-0.06,13.11,16.34,6.65,13.22,10.15,22.17,34.95,0.19,0.28
E01028877,0.06,0.08,-0.68,18,24.45,-2.26,2.06,1.63,2.92,44.11,4.8,12.68,23.32,0.05,0.11
E01028878,0.09,0.08,-0.58,20.4,14.28,0.45,9.98,13.68,2.58,17.04,11.51,19.16,21.64,0.11,0.11
E01028879,0.18,0.13,0.09,32.84,8.6,-0.35,20.34,29.7,1.6,8.13,9.08,29.25,36.42,0.27,0.21
E01028880,0.15,0.09,-0.15,20.89,36.74,-0.53,19.89,28.29,3.08,66.54,6.95,17.03,24.74,0.26,0.17
E01028881,0.11,0.08,-0.34,15.54,47.89,-0.78,18.73,25.98,4.21,93.71,2.08,13.8,17.28,0.21,0.11
E01028882,0.09,0.08,-0.33,13.81,50.41,-0.34,43.81,61.02,9.39,95.37,5.46,12.24,15.38,0.08,0.11
E01028883,0.06,0.06,-0.37,11.02,29.02,-0.93,9.94,14.33,1.17,55.24,2.8,15.19,6.84,0.07,0.15
E01028884,0.11,0.07,-0.59,18.92,6.79,-0.88,5.53,6.56,3.49,8.01,5.57,20.52,17.32,0.16,0.15
E01028885,0.06,0.05,-0.3,22.58,44.62,-0.59,13.17,19.24,1.04,82.89,6.35,26.03,19.13,0.1,0.08
E01028886,0.17,0.12,0.06,29.81,10.4,-0.02,19.38,27.75,2.66,11.22,9.57,31.06,28.55,0.18,0.22
E01028887,0.1,0.08,-0.15,9.2,7.49,-0.67,4.72,5.63,2.91,12.87,2.1,2.18,16.23,0.11,0.13
E01028888,0.07,0.08,-0.17,6.89,42.14,-0.73,34.14,51.02,0.38,81.23,3.06,2.18,11.6,0.08,0.09
E01028889,0.1,0.07,0.02,14.49,15,-1.13,5.79,8.44,0.51,22.09,7.91,4.68,24.3,0.08,0.15
E01028890,0.13,0.1,0.24,12.09,15.66,-0.39,18.93,28.2,0.38,18.36,12.95,4.96,19.23,0.15,0.19
E01028891,0.19,0.15,0.57,39.18,9.01,0.38,41.53,61.69,1.23,4.1,13.92,40.96,37.39,0.2,0.31
E01028892,0.06,0.06,-0.56,11.79,26.73,-0.32,16.19,23.22,2.12,46.92,6.54,11,12.58,0.04,0.13
E01028893,0.09,0.06,-0.42,14.02,46.08,-0.38,22.68,33.92,0.19,85.44,6.72,13.53,14.51,0.08,0.15
E01028894,0.17,0.13,0.31,28.1,15.32,-0.33,23.35,33.47,3.13,18.41,12.23,22.83,33.38,0.16,0.27
E01028895,0.13,0.12,0.1,19.35,5.38,0.42,9.45,13.27,1.8,1.75,9.01,15.67,23.03,0.14,0.2
E01028896,0.11,0.08,-0.37,14.71,26.44,-0.22,24.23,34.34,4.01,44.29,8.59,7.06,22.36,0.09,0.22
E01028897,0.17,0.1,-0.25,33.11,26.46,-0.81,30.73,42.84,6.51,44.09,8.83,33.68,32.53,0.24,0.21
E01028898,0.09,0.07,-0.36,9.82,46.21,-0.67,34.15,49.85,2.77,90.49,1.93,3.87,15.76,0.09,0.15
E01028899,0.08,0.06,-0.31,7.91,27.68,-0.76,14.87,20.88,2.85,52.21,3.15,9.18,6.65,0.1,0.11
E01028900,0.11,0.08,0.23,19.1,15.93,-0.58,2.98,2.35,4.24,20.79,11.07,12.69,25.5,0.12,0.33
E01028901,0.05,0.04,-0.57,14.13,16.38,-1.14,10.62,13.95,3.96,18.31,14.44,8.9,19.36,0.04,0.16
E01028902,0.13,0.11,0.13,25.85,10.05,0.49,15.16,14.28,16.93,13.65,6.45,23.09,28.61,0.15,0.15
E01028903,0.22,0.18,0.65,26.14,6.28,-0.32,13.55,16.78,7.11,6.96,5.6,21.08,31.2,0.2,0.28
E01028904,0.13,0.12,-0.12,34.51,12.48,-0.3,9.7,10.86,7.38,12.16,12.8,35.22,33.8,0.13,0.2
E01028905,0.21,0.13,0.41,37.5,10.04,-0.13,6.93,9.14,2.51,5.42,14.67,30.29,44.7,0.25,0.31
E01028906,0.2,0.2,0.72,16.38,11.42,0.9,45.42,58.07,20.11,0.95,21.89,17.21,15.55,0.16,0.31
E01028907,0.11,0.08,-0.41,6.21,12.83,0.07,18.23,24.51,5.65,13.14,12.51,4.94,7.48,0.09,0.17
E01028908,0.21,0.14,0.28,41.7,9.83,0.45,47.73,57.07,29.04,2.74,16.93,43.51,39.89,0.29,0.31
E01028909,0.18,0.12,0.04,34.96,8.97,-0.21,15.3,11.92,22.07,4.05,13.89,28.43,41.49,0.18,0.32
E01028910,0.08,0.13,-0.32,8.14,40.59,-0.44,21.83,32.71,0.08,62.89,18.28,5.5,10.79,0.09,0.1
E01028911,0.07,0.07,-0.71,12.8,17.54,-0.18,6.49,8.25,2.98,29.42,5.67,8.76,16.84,0.03,0.15
E01028912,0.27,0.17,0.47,43.17,17.91,-0.15,13.89,18.89,3.89,14.94,20.88,45.2,41.14,0.31,0.4
E01028913,0.05,0.06,-0.82,9.84,46.37,-1.42,21.26,31.61,0.55,82.13,10.61,11.62,8.07,0.05,0.09
E01028914,0.11,0.09,0,21.12,48.02,-1.21,23.92,35.52,0.7,84.85,11.19,25.27,16.97,0.17,0.12
E01028915,0.07,0.06,-0.51,7.71,28.59,-1.27,14.36,21.21,0.67,47.88,9.3,3.07,12.35,0.07,0.11
E01028916,0.05,0.06,-0.66,7.24,18.02,-0.85,4.6,6.48,0.85,26.07,9.97,4.71,9.76,0.03,0.1
E01028917,0.05,0.05,-0.56,5.47,7.75,-0.69,31.09,44.52,4.23,2.69,12.81,4.41,6.53,0.05,0.1
E01028918,0.09,0.07,-0.45,11.15,35.27,-0.96,20.19,30.19,0.19,64.01,6.53,9.69,12.62,0.09,0.12
E01028919,0.06,0.05,-0.64,7.46,34.66,-0.94,19.73,24.61,9.97,62.68,6.63,7.31,7.6,0.06,0.11
E01028920,0.15,0.1,-0.38,35.61,30.18,-0.48,8.26,11,2.8,47.45,12.91,30.38,40.84,0.17,0.21
E01028921,0.1,0.06,-0.99,23.87,19.72,-0.78,7.5,10.35,1.8,30.26,9.17,18.99,28.76,0.1,0.2
E01028922,0.08,0.07,-0.24,13.18,37.63,-0.12,35.96,53.87,0.14,65.54,9.72,13.44,12.93,0.09,0.14
E01028923,0.06,0.06,-0.96,6.4,40.6,-1.39,20.07,30.07,0.05,75.81,5.4,6.46,6.34,0.07,0.08
E01028924,0.14,0.09,-0.44,23.44,13.8,-0.38,7.21,9.54,2.55,14.3,13.3,17.1,29.78,0.17,0.16
E01028925,0.05,0.07,-0.94,9.05,36.84,-0.15,15.91,23.39,0.95,64.41,9.27,10.28,7.82,0.04,0.12
E01028926,0.18,0.14,-0.68,29.69,22.78,-0.12,10.3,14.56,1.78,34.66,10.9,33.9,25.48,0.21,0.23
E01028927,0.1,0.11,0,10.03,28.12,-0.29,14.51,20.76,2.01,44.82,11.42,10.64,9.41,0.15,0.1
E01028928,0.16,0.11,0.12,16.41,20.15,0.04,13.64,19.1,2.71,32.88,7.42,12.89,19.94,0.21,0.2
E01028929,0.05,0.04,-0.28,12.67,34.24,0.11,4.29,2.17,8.53,45.68,22.79,9.73,15.61,0.05,0.09
E01028930,0.09,0.05,0.1,9.79,41.29,-0.54,7.05,7.07,7.01,53.23,29.35,12.85,6.72,0.12,0.16
E01028931,0.14,0.1,0.79,20.8,32,0.15,17.72,22.93,7.31,31.54,32.45,28.76,12.84,0.17,0.24
E01028932,0.04,0.05,-0.01,11.48,30.88,0.28,2.42,0.56,6.12,46.25,15.5,7.76,15.21,0.03,0.06
E01028933,0.14,0.09,0.41,37.79,13.68,0.49,22.2,16.56,33.48,3.58,23.77,37.67,37.9,0.2,0.22
E01028934,0.27,0.15,1.29,63.84,16.41,0.29,10.68,10.99,10.04,3.82,29.01,75.32,52.36,0.37,0.26
E01028935,0.06,0.06,0.26,8.63,10.04,-1.16,4.66,4.34,5.31,4.09,15.98,7.93,9.33,0.07,0.07
E01028936,0.05,0.06,-0.33,6.52,11.93,-0.6,4.52,6.25,1.05,10.03,13.83,5.28,7.77,0.04,0.08
E01028937,0.09,0.07,0.42,14.55,12.7,-0.89,5.23,6.73,2.23,1.22,24.19,15.36,13.74,0.1,0.14
E01028938,0.1,0.07,0.45,4.5,22.85,-0.05,22.75,23.97,20.33,9.91,35.79,4.56,4.44,0.07,0.18
E01028939,0.11,0.07,0.34,5.64,28.7,-0.44,30.83,42.41,7.68,23.75,33.66,7.72,3.56,0.19,0.15
E01028940,0.1,0.07,0.25,5.03,23.62,-0.41,13.3,14.83,10.25,25,22.24,2.47,7.59,0.14,0.15
E01028941,0.11,0.09,0.25,3.99,20.7,0.33,4.31,4.28,4.37,15.15,26.25,2.26,5.72,0.13,0.16
E01028942,0.03,0.06,-0.01,2.32,25.73,-1.41,0.45,0.22,0.92,40.34,11.11,0.86,3.77,0.03,0.05
E01028943,0.1,0.1,0.76,7.34,34.99,-0.46,26.59,35.29,9.18,32.8,37.19,5.52,9.16,0.09,0.2
E01028944,0.16,0.14,0.89,30.07,24,0.51,10.81,10.49,11.43,9.71,38.28,29.12,31.01,0.22,0.23
E01028945,0.16,0.12,0.83,13.74,22.78,0.4,26.29,35.11,8.64,10.67,34.9,17.84,9.65,0.23,0.32
